id,zip_code,city,state_code,state_name,Housing Affordability,Housing Affordability,Housing Affordability,Housing Affordability,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Job Market Strength,Job Market Strength,Job Market Strength,Job Market Strength,Living Affordability,Living Affordability,Living Affordability,Living Affordability,Living Affordability
15436,2896,North Smithfield,RI,Rhode Island,$432.6 K,1.32%,6.1%,$209.8,80,88,60,80,50,20,10,2.6%,0.79%,70,$96.68 K,3.8%,49,60,7%,63
15437,2912,Providence,RI,Rhode Island,$374.5 K,1.46%,8.7%,$221.88,76,89,65,70,57,23,10,4%,0.79%,63,$61.37 K,3.8%,47,54,7%,67
15438,3101,Manchester,NH,New Hampshire,$356.1 K,1.86%,9.1%,$238.06,80,85,60,79,58,21,10,2.8%,-0.14%,70,$74.04 K,0%,46,53,0%,47
15439,3576,Colebrook,NH,New Hampshire,$316.5 K,1.78%,6.7%,$136.43,70,77,62,69,47,36,28,3.1%,0.57%,68,$83.93 K,3.1%,37,53,6%,56
15440,3751,Georges Mills,NH,New Hampshire,,,,,,,,,,,,,,,,,,,,
15441,3779,Piermont,NH,New Hampshire,$763.4 K,1.89%,3.7%,$396.99,96,80,46,78,31,31,20,3.3%,1.83%,74,$131.46 K,5.5%,57,69,8.38%,100
15442,3782,Sunapee,NH,New Hampshire,$569.2 K,2.63%,6.6%,$249.53,82,53,54,92,58,18,10,2.4%,0.09%,57,$102.36 K,0%,48,71,0%,37
15443,3867,Rochester,NH,New Hampshire,$205.8 K,2.67%,10.1%,$134.01,82,79,60,78,66,47,43,5.6%,1.48%,57,$44.16 K,5.5%,38,38,8%,49
15444,4017,Chebeague Island,ME,Maine,$580.7 K,1.13%,3.5%,$508.49,95,88,57,88,70,18,10,2.4%,2.12%,77,$58.57 K,6.8%,38,73,5.5%,42
15445,4021,Cumberland Center,ME,Maine,,,,,,,,,,,,,,,,,,,,
15446,4024,East Baldwin,ME,Maine,,,,,,,,,,,,,,,,,,,,
15447,4029,Sebago,ME,Maine,$372.2 K,1.17%,7.2%,$370.9,84,84,50,86,50,17,10,3.1%,2.12%,80,$69.6 K,6.8%,40,57,5.5%,67
15448,4069,Pownal,ME,Maine,$263.3 K,1.78%,5.9%,$176.37,73,60,54,93,56,18,10,2.4%,3.17%,63,$71.38 K,6.6%,47,42,6%,38
15449,4096,Yarmouth,ME,Maine,$562.7 K,0.81%,7.3%,$368.74,87,67,65,93,52,20,10,3.6%,4.64%,68,$77.94 K,5%,47,58,6.25%,53
15450,4107,Cape Elizabeth,ME,Maine,$765.2 K,1.22%,-0.1%,-,97,79,56,85,56,20,10,2.4%,2.12%,79,$144.25 K,6.8%,38,78,5.5%,42
15451,4413,Brookton,ME,Maine,,,,,,,,,,,,,,,,,,,,
15452,4469,Orono,ME,Maine,$293 K,1.32%,7.9%,$192.02,87,75,56,87,63,20,10,3%,0.71%,56,$56.68 K,6.8%,41,56,5.5%,33
15453,4495,Winn,ME,Maine,$1.46 M,2.02%,4.5%,$427.93,96,90,64,55,63,62,46,4.6%,-0.49%,52,$250 K,5%,35,67,10%,90
15454,4535,Alna,ME,Maine,$352.3 K,1.01%,6.1%,$362.95,87,55,56,93,69,17,10,2.8%,7.2%,60,$85.1 K,6.8%,40,62,5.5%,41
15455,4734,Blaine,ME,Maine,$363.6 K,0.95%,0.2%,$217.65,79,67,48,77,49,53,38,1.8%,0.14%,79,$100.66 K,6.8%,37,46,7.12%,67
15456,4750,Limestone,ME,Maine,$164.2 K,2.32%,6.5%,$73.49,56,59,61,76,57,33,32,4.5%,-0.05%,26,$63.41 K,5%,34,30,9%,43
15457,4773,Saint David,ME,Maine,,,,,,,,,,,,,,,,,,,,
15458,4785,Van Buren,ME,Maine,$293.7 K,1.73%,5.1%,$141.93,66,88,59,59,45,52,46,3.1%,1.69%,48,$72.36 K,4.2%,37,39,6%,86
15459,4923,Cambridge,ME,Maine,$995.5 K,1.08%,1.1%,$468.6,99,93,65,72,87,23,10,2.2%,0.86%,83,$121.54 K,5%,50,77,6.25%,53
15460,4971,Saint Albans,ME,Maine,,,,,,,,,,,,,,,,,,,,
15461,4984,Temple,ME,Maine,$244.8 K,1.72%,-4.9%,$134.72,70,64,68,77,61,53,41,3.4%,1.28%,82,$61 K,0%,37,30,8.25%,37
15462,4992,West Farmington,ME,Maine,$228.7 K,1.44%,3.9%,$140.1,59,48,58,80,55,20,11,3.9%,0.54%,26,$57.16 K,3.2%,33,39,7%,44
15463,5062,Reading,VT,Vermont,$244 K,1.82%,7.8%,$155.18,56,73,64,60,63,47,45,4.3%,0.57%,64,$42.85 K,3.1%,38,37,6%,56
15464,5151,Perkinsville,VT,Vermont,$231.9 K,2.02%,4.7%,$134.17,73,65,51,88,58,20,10,1.9%,4.02%,55,$69.49 K,6.6%,49,60,6%,36
15465,5253,East Dorset,VT,Vermont,,,,,,,,,,,,,,,,,,,,
15466,5404,Winooski,VT,Vermont,$398.9 K,1.88%,0.7%,-,87,65,55,84,67,22,10,1.8%,1.66%,84,$69.78 K,6.6%,43,61,7%,42
15467,5461,Hinesburg,VT,Vermont,$546.2 K,1.78%,6.5%,$301.42,93,64,55,86,49,18,10,1.5%,1.66%,78,$115.12 K,6.6%,49,71,6%,50
15468,5653,Eden Mills,VT,Vermont,,,,,,,,,,,,,,,,,,,,
15469,5678,Websterville,VT,Vermont,$175.3 K,1.97%,6.2%,$82.25,63,60,50,85,55,19,10,1.9%,2.26%,47,$70.31 K,6.6%,46,54,7%,36
15470,5857,Newport Center,VT,Vermont,,,,,,,,,,,,,,,,,,,,
15471,6020,Canton Center,CT,Connecticut,,,,,,,,,,,,,,,,,,,,
15472,6074,South Windsor,CT,Connecticut,$355.6 K,2.27%,13.5%,$187.27,92,93,62,77,50,20,10,3%,-1.7%,60,$134.08 K,5.5%,48,53,6.35%,65
15473,6354,Moosup,CT,Connecticut,$243.2 K,1.66%,7.5%,$153.74,49,62,59,85,51,21,10,3.3%,-1.07%,70,$64.47 K,5.5%,45,52,6.35%,57
15474,6370,Oakdale,CT,Connecticut,$332.3 K,1%,1.2%,$265.17,85,75,56,74,49,47,34,1.8%,0.16%,74,$86 K,6.8%,35,46,7.88%,65
15475,6516,West Haven,CT,Connecticut,$303.8 K,2.11%,10.8%,$224.44,73,96,67,67,57,22,10,3.6%,-1.16%,49,$72.83 K,5.5%,53,55,6.35%,66
15476,6705,Waterbury,CT,Connecticut,$234.4 K,2.13%,14.2%,$170.66,64,95,55,70,55,22,10,5.3%,-1.16%,53,$51.45 K,5.5%,49,47,6.35%,67
15477,6784,Sherman,CT,Connecticut,$258.9 K,1.3%,1%,$146.32,55,68,71,77,61,51,43,3.4%,1.56%,72,$58.02 K,0%,38,32,8.25%,41
15478,7002,Bayonne,NJ,New Jersey,$498.2 K,1.91%,6.2%,$232.33,85,93,69,64,59,23,10,5%,-0.07%,59,$80.04 K,5.5%,43,52,6.62%,99
15479,7310,Jersey City,NJ,New Jersey,$611.4 K,1.61%,3.7%,$275.48,91,82,70,62,60,23,10,4.9%,-0.07%,62,$91.15 K,5.5%,46,59,6.62%,97
15480,7508,Haledon,NJ,New Jersey,$487.1 K,2.42%,9.1%,$271.65,70,65,63,76,39,22,10,5.3%,-0.04%,52,$98.46 K,5.5%,41,55,6.62%,86
15481,7701,Red Bank,NJ,New Jersey,$627.2 K,1.96%,6.1%,$318.47,90,87,69,78,60,22,10,3.8%,0.34%,65,$89.5 K,5.5%,35,56,6.62%,54
15482,7801,Dover,NJ,New Jersey,$307.1 K,0.47%,7.5%,$167.78,71,50,70,85,63,61,59,5.3%,2.55%,64,$54.44 K,6.6%,39,49,0%,47
15483,8015,Browns Mills,NJ,New Jersey,$284.2 K,2.22%,11.3%,$199.35,46,67,61,71,45,21,10,3.8%,0.99%,55,$70.83 K,5.5%,45,49,6.62%,69
15484,8019,Chatsworth,NJ,New Jersey,$214.3 K,0.78%,6%,$136.43,65,47,65,79,55,42,28,3.7%,1.48%,55,$59.03 K,5.8%,40,31,8%,49
15485,8021,Clementon,NJ,New Jersey,$279.9 K,3.3%,10.2%,$187.84,63,71,66,69,64,21,10,4.6%,0.97%,56,$62.92 K,5.5%,45,49,6.62%,55
15486,8083,Somerdale,NJ,New Jersey,$299.8 K,3.28%,10.8%,$194.31,70,71,61,64,68,22,10,4.6%,0.97%,59,$83.78 K,5.5%,43,48,6.62%,52
15487,8558,Skillman,NJ,New Jersey,$931.1 K,2.04%,10.2%,$307.25,97,75,59,73,23,19,10,3.7%,0.78%,86,$132.11 K,5.5%,42,63,6.62%,95
15488,8559,Stockton,NJ,New Jersey,$405.8 K,0.74%,-0.4%,$238.75,63,84,77,50,40,54,37,7.2%,-0.8%,69,$71.61 K,9.3%,43,53,9%,74
15489,8561,Windsor,NJ,New Jersey,$560.9 K,0.48%,-2.5%,$284.47,83,59,61,69,52,49,37,3%,0.7%,91,$121.75 K,4.4%,34,44,7.35%,52
15490,8629,Trenton,NJ,New Jersey,$290.7 K,2.62%,12.7%,$192.35,53,79,66,65,62,23,10,5.8%,1.46%,59,$44.44 K,5.5%,44,45,6.62%,63
15491,8648,Lawrence Township,NJ,New Jersey,$214.3 K,0.96%,1.2%,$98.28,82,86,60,63,55,47,32,3.4%,0.24%,57,$59.5 K,3.2%,29,34,7%,55
15492,8722,Beachwood,NJ,New Jersey,$397.5 K,1.79%,8.3%,$159.82,91,92,68,64,60,91,72,2.9%,2.45%,48,$105.35 K,3.2%,33,49,8%,48
15493,8820,Edison,NJ,New Jersey,$542.6 K,2.29%,8.6%,$308.37,95,82,63,69,46,21,10,3.5%,0.46%,72,$118.7 K,5.5%,46,55,6.62%,97
15494,8821,Flagtown,NJ,New Jersey,,,,,,,,,,,,,,,,,,,,
15495,8825,Frenchtown,NJ,New Jersey,$221.3 K,1.37%,5.3%,$106.94,62,54,60,87,56,45,34,3.7%,2.37%,60,$63.21 K,4.2%,36,34,6%,70
15496,10044,New York,NY,New York,$735.1 K,0.68%,-4.8%,$771.15,98,100,72,66,60,100,87,4.7%,0.95%,65,$76.61 K,5.5%,70,75,8.88%,100
15497,10170,New York,NY,New York,$735.1 K,0.68%,-4.8%,$771.15,98,100,72,66,60,100,87,4.7%,0.95%,65,$76.61 K,5.5%,70,75,8.88%,100
15498,10271,New York,NY,New York,$735.1 K,0.68%,-4.8%,$771.15,98,100,72,66,60,100,87,4.7%,0.95%,65,$76.61 K,5.5%,70,75,8.88%,100
15499,10462,Bronx,NY,New York,$1.41 M,1.62%,-7.7%,$447.92,99,97,65,69,84,47,32,3.5%,1.85%,61,$206.85 K,5.5%,67,73,8.88%,79
15500,10603,White Plains,NY,New York,$695.2 K,1.62%,7.8%,$189.99,95,98,63,63,77,49,37,3.1%,1.85%,69,$109.55 K,5.5%,67,61,8.38%,58
15501,10803,Pelham,NY,New York,$292.9 K,0.5%,0%,$136.17,89,58,69,67,56,58,47,1.8%,1.39%,90,$94.11 K,5%,38,43,10%,53
15502,10917,Central Valley,NY,New York,$385.4 K,0.59%,1.5%,$214.62,64,59,58,87,54,21,11,2.6%,2.86%,78,$98.75 K,4.9%,33,28,6.75%,34
15503,10920,Congers,NY,New York,$634.7 K,1.89%,5.5%,$319.32,91,80,51,75,36,31,19,3.3%,1.83%,69,$136.79 K,5.5%,56,57,8.38%,100
15504,10983,Tappan,NY,New York,$674 K,1.89%,6%,$351.77,94,73,49,73,33,28,18,3.3%,1.83%,87,$171.13 K,5.5%,57,62,8.38%,100
15505,11239,Brooklyn,NY,New York,$876.9 K,0.68%,-2%,$480.38,85,95,73,64,58,100,90,5.1%,0.95%,68,$74.69 K,5.5%,68,84,8.88%,100
15506,11357,Whitestone,NY,New York,$212.5 K,1.14%,-11.4%,$84.81,68,41,52,92,63,16,12,1.1%,1.55%,60,$58.75 K,2%,30,33,7%,29
15507,11365,Fresh Meadows,NY,New York,,,,,,,,,,,,,,,,,,,,
15508,11514,Carle Place,NY,New York,$674.2 K,1.58%,5.1%,$434.07,89,100,67,73,41,49,37,3.2%,1.84%,72,$107.34 K,5.5%,53,62,8.62%,100
15509,11549,Hempstead,NY,New York,$616.8 K,1.58%,4.2%,$405.12,90,98,68,73,48,62,48,3.4%,1.84%,66,$132.47 K,5.5%,50,61,8.62%,100
15510,11568,Old Westbury,NY,New York,$2.52 M,1.58%,8.3%,$486.41,98,99,67,74,45,22,17,3.2%,1.84%,73,$250 K,5.5%,53,91,8.62%,96
15511,11714,Bethpage,NY,New York,$701.3 K,1.58%,6.1%,$455.19,92,100,69,74,44,53,40,3.2%,1.84%,77,$128.43 K,5.5%,53,58,8.62%,97
15512,11730,East Islip,NY,New York,$624.8 K,2.04%,5%,-,88,100,65,76,65,37,29,3.5%,1.88%,57,$137.91 K,5.5%,51,54,8.62%,72
15513,11792,Wading River,NY,New York,$615.5 K,2.04%,8.1%,$298.01,90,94,68,79,57,32,21,3.5%,1.88%,74,$128.75 K,5.5%,54,57,8.62%,67
15514,11954,Montauk,NY,New York,$1.73 M,2.04%,0.4%,-,95,97,68,80,59,62,53,3.5%,1.88%,70,$138.9 K,5.5%,51,76,8.62%,51
15515,12106,Kinderhook,NY,New York,$452.6 K,1.9%,4.8%,$220.82,83,58,59,84,62,27,22,3%,2.29%,61,$88.57 K,5.5%,37,56,8%,46
15516,12122,Middleburgh,NY,New York,$226.7 K,2.32%,5.3%,$143.21,62,53,56,92,51,22,24,3.7%,2.76%,59,$56.11 K,5.5%,46,42,8%,69
15517,12151,Round Lake,NY,New York,$209.3 K,3.11%,7.4%,$159.81,61,97,60,73,59,61,53,5.2%,0.14%,51,$83.29 K,5%,32,35,8%,50
15518,12183,Troy,NY,New York,$404.8 K,1.28%,5.3%,$194.49,96,94,59,76,51,58,42,2.5%,2%,63,$115.64 K,4.2%,35,47,6%,73
15519,12302,Schenectady,NY,New York,$274.9 K,2.56%,5.4%,$169.63,68,63,57,81,69,40,31,4.7%,1.97%,53,$54.65 K,5.5%,43,40,8%,46
15520,12430,Fleischmanns,NY,New York,$356.3 K,1.83%,2.8%,$203.16,77,77,54,93,56,21,12,3.9%,2.48%,44,$60.42 K,5.5%,35,50,8%,44
15521,12474,Roxbury,NY,New York,$545.5 K,1.88%,9.1%,$309.36,92,79,61,83,32,20,10,3.6%,0.74%,71,$123.53 K,5.5%,35,53,6.62%,90
15522,12526,Germantown,NY,New York,$405.4 K,0.87%,3.8%,$177.82,95,100,65,77,44,54,40,1.5%,1.99%,73,$109.27 K,4.8%,31,60,6%,94
15523,12530,Hollowville,NY,New York,,,,,,,,,,,,,,,,,,,,
15524,12724,Callicoon Center,NY,New York,,,,,,,,,,,,,,,,,,,,
15525,12762,Mongaup Valley,NY,New York,,,,,,,,,,,,,,,,,,,,
15526,12810,Athol,NY,New York,$276 K,1.34%,10.3%,$187.75,62,97,53,84,57,19,10,3.1%,-0.03%,70,$63.81 K,5%,45,50,6.25%,57
15527,12833,Greenfield Center,NY,New York,,,,,,,,,,,,,,,,,,,,
15528,12839,Hudson Falls,NY,New York,$212 K,2.41%,7%,$145.56,54,42,55,78,56,34,22,3.4%,4.43%,40,$58.75 K,5.5%,40,43,7%,53
15529,12859,Porter Corners,NY,New York,,,,,,,,,,,,,,,,,,,,
15530,12863,Rock City Falls,NY,New York,,,,,,,,,,,,,,,,,,,,
15531,12874,Silver Bay,NY,New York,$155.6 K,0.72%,2.2%,$144.62,63,50,44,96,56,24,14,2.6%,2.08%,56,$65.88 K,6.8%,29,31,7.38%,35
15532,12929,Dannemora,NY,New York,$162.3 K,2.2%,4.1%,$107.33,58,60,54,87,54,19,12,3.3%,-0.84%,41,$60.78 K,5.5%,37,50,8%,46
15533,12961,Moriah Center,NY,New York,,,,,,,,,,,,,,,,,,,,
15534,12986,Tupper Lake,NY,New York,$148.9 K,1.8%,0.3%,$106.57,48,67,44,88,62,27,26,3.9%,1.08%,47,$59.78 K,5.5%,37,53,8%,30
15535,13054,Durhamville,NY,New York,$208 K,2.26%,5.4%,$136.75,59,67,53,90,50,20,10,3.7%,1.84%,63,$123.53 K,5.5%,41,39,8.75%,47
15536,13060,Elbridge,NY,New York,$220.5 K,3.14%,11.1%,$134,73,68,57,92,54,22,17,3.4%,1.22%,45,$59.81 K,5.5%,39,42,8%,50
15537,13066,Fayetteville,NY,New York,$201.4 K,1.16%,7.4%,$122.96,68,50,68,81,63,58,46,5.1%,0.96%,57,$53.42 K,4.8%,35,34,7%,38
15538,13113,Meridian,NY,New York,$471 K,0.56%,-3.4%,$215.18,85,79,63,64,49,72,50,3%,3.74%,91,$93.3 K,5.8%,31,32,6%,52
15539,13145,Sandy Creek,NY,New York,$217.4 K,2.25%,7%,$149.49,64,56,53,87,54,23,15,4.2%,1.4%,40,$69.33 K,5.5%,40,39,8%,59
15540,13310,Bouckville,NY,New York,,,,,,,,,,,,,,,,,,,,
15541,13355,Hubbardsville,NY,New York,,,,,,,,,,,,,,,,,,,,
15542,13441,Rome,NY,New York,$280.2 K,2.48%,7.6%,$179.04,74,75,61,73,57,51,49,4.5%,-0.6%,76,$96.41 K,5%,36,36,8.5%,54
15543,13502,Utica,NY,New York,$180.5 K,2.49%,6.1%,$118.88,64,67,54,81,60,59,61,4.5%,1.84%,37,$48.21 K,5.5%,42,43,8.75%,44
15544,13612,Black River,NY,New York,$195 K,1.55%,4.6%,-,39,53,50,77,58,39,32,3.2%,2.15%,53,$42.8 K,5.3%,34,26,5.5%,40
15545,13654,Heuvelton,NY,New York,$148 K,2.31%,7.5%,$101.7,56,77,51,89,56,21,13,4.2%,-1.17%,34,$61.43 K,5.5%,44,34,8%,46
15546,13777,Glen Aubrey,NY,New York,$192.5 K,2.66%,9.1%,$103.61,59,59,55,84,54,20,12,3.9%,0.94%,23,$86.93 K,5.5%,34,41,8%,40
15547,13778,Greene,NY,New York,$295.1 K,1.09%,4.4%,$127.21,61,64,60,79,58,43,35,2.4%,0.57%,76,$86.09 K,3.1%,29,54,6%,43
15548,13839,Sidney Center,NY,New York,,,,,,,,,,,,,,,,,,,,
15549,14036,Corfu,NY,New York,$232.1 K,2.56%,7%,$140.67,73,57,58,86,59,26,17,3.3%,3.26%,50,$77.25 K,5.5%,40,45,8.75%,43
15550,14063,Fredonia,NY,New York,$185.5 K,2.75%,3.5%,$109.96,77,67,59,90,65,39,37,4.1%,4.47%,36,$48.86 K,5.5%,37,38,8%,29
15551,14081,Irving,NY,New York,$334.1 K,1.64%,1.6%,$155.51,82,100,69,65,46,65,45,3%,1.97%,77,$76.69 K,0%,37,42,8.25%,68
15552,14098,Lyndonville,NY,New York,$204.2 K,2.19%,16.1%,$117.59,62,54,46,87,57,21,10,2%,2.85%,58,$54.69 K,6.6%,48,53,6%,42
15553,14102,Marilla,NY,New York,$412.8 K,1.98%,5.9%,$222.38,93,80,53,87,44,32,30,3.9%,2.08%,60,$95.13 K,5.5%,35,51,8.75%,66
15554,14139,South Wales,NY,New York,,,,,,,,,,,,,,,,,,,,
15555,14211,Buffalo,NY,New York,$218.6 K,2.22%,6.4%,$142.54,79,78,60,75,62,42,39,5.4%,2.08%,55,$46.18 K,5.5%,41,40,8.75%,59
15556,14418,Branchport,NY,New York,,,,,,,,,,,,,,,,,,,,
15557,14506,Mendon,NY,New York,$444.4 K,2.59%,10.1%,$193.68,94,74,58,83,50,30,23,3.8%,1.48%,62,$122.19 K,5.5%,41,55,8%,56
15558,14710,Ashville,NY,New York,$326.8 K,0.98%,5.3%,$172.42,68,56,61,76,46,30,24,2.8%,0.79%,59,$60.29 K,3.2%,38,45,7.25%,59
15559,14722,Chautauqua,NY,New York,$577.4 K,2.51%,4.3%,$255.75,69,66,64,90,60,25,20,4.1%,4.47%,39,$60.46 K,5.5%,41,42,8%,36
15560,14750,Lakewood,NY,New York,$562.5 K,0.5%,-0.1%,$345.86,89,78,62,63,49,59,45,3.4%,0.12%,74,$82.79 K,4.4%,34,50,8.81%,72
15561,14779,Salamanca,NY,New York,$107.2 K,2.76%,3.4%,$68.8,43,53,50,85,62,32,30,4.2%,3.54%,37,$38.47 K,5.5%,32,32,8%,35
15562,14858,Lindley,NY,New York,$185.5 K,2.62%,1.8%,$115.3,53,65,56,90,57,25,24,3.8%,1.65%,33,$76.1 K,5.5%,39,41,8%,45
15563,14859,Lockwood,NY,New York,$249.5 K,0.95%,4.1%,$85.5,60,68,57,85,56,100,100,2.6%,0.6%,71,$73.63 K,6.8%,37,45,0%,46
15564,15112,East Pittsburgh,PA,Pennsylvania,$90 K,1.68%,-0.5%,$63.76,65,96,61,54,78,24,14,2.8%,0.91%,44,$35.48 K,3.1%,37,32,7%,73
15565,15334,Garards Fort,PA,Pennsylvania,,,,,,,,,,,,,,,,,,,,
15566,15351,Nemacolin,PA,Pennsylvania,$182 K,1.32%,1.5%,$78.45,54,49,60,82,57,20,12,3%,-1.09%,70,$19.38 K,3.1%,28,26,6%,49
15567,15360,Scenery Hill,PA,Pennsylvania,,,,,,,,,,,,,,,,,,,,
15568,15425,Connellsville,PA,Pennsylvania,$129.1 K,1.2%,3.7%,$87.65,38,52,55,79,57,37,30,3.7%,0.91%,44,$51.94 K,3.1%,26,38,6%,54
15569,15533,Breezewood,PA,Pennsylvania,,,,,,,,,,,,,,,,,,,,
15570,15545,Hyndman,PA,Pennsylvania,$130.2 K,0.83%,-0.1%,$84.85,35,56,61,81,57,22,12,2.8%,0.94%,42,$48.75 K,3.1%,35,42,6%,47
15571,15564,Wellersburg,PA,Pennsylvania,$137.5 K,1.15%,0.6%,$51.15,65,64,60,85,59,20,13,3.2%,0.15%,40,$51.25 K,3.1%,33,37,6%,45
15572,15634,Grapeville,PA,Pennsylvania,$79.8 K,1.35%,2.5%,$57.14,73,66,61,78,51,23,16,2.8%,0.9%,40,$42.22 K,3.1%,28,32,6%,52
15573,15752,Kent,PA,Pennsylvania,$603.6 K,0.99%,1.3%,$288.31,78,100,70,63,34,81,64,4.3%,2.2%,68,$86.97 K,0%,18,51,10.2%,98
15574,15841,Force,PA,Pennsylvania,$63.4 K,1.35%,-0.2%,$27.33,73,46,56,86,57,20,11,2.9%,0.24%,63,$31.79 K,3.1%,32,34,6%,35
15575,15940,Loretto,PA,Pennsylvania,$206.9 K,0.58%,2.3%,$126.94,76,41,66,80,62,24,14,3.5%,2.14%,43,$49.32 K,0%,35,30,9.75%,42
15576,15952,Salix,PA,Pennsylvania,$137.4 K,1.16%,-12.4%,-,61,52,58,82,50,22,16,3.5%,0.38%,54,$62.97 K,3.1%,32,40,6%,49
15577,16049,Parker,PA,Pennsylvania,$698.5 K,0.53%,-0.8%,$294.91,96,85,58,70,44,66,49,2.9%,0.19%,92,$126.62 K,4.4%,36,49,8%,69
15578,16054,Saint Petersburg,PA,Pennsylvania,,,,,,,,,,,,,,,,,,,,
15579,16124,Fredonia,PA,Pennsylvania,$185.5 K,2.75%,3.5%,$109.96,77,67,59,90,65,39,37,4.1%,4.47%,36,$48.86 K,5.5%,37,38,8%,29
15580,16137,Mercer,PA,Pennsylvania,$2.22 M,0.85%,-2%,$667.59,99,97,71,67,36,54,37,4%,2.2%,68,$190.99 K,0%,16,78,10.1%,83
15581,16143,Pulaski,PA,Pennsylvania,$146.3 K,0.72%,0.4%,-,52,50,62,80,56,31,22,2.9%,0.43%,50,$55.21 K,5.8%,35,32,5.3%,36
15582,16258,Strattanville,PA,Pennsylvania,$124 K,1.03%,0.4%,$146.82,78,57,56,77,55,21,10,3.3%,-0.09%,36,$51.25 K,3.1%,34,39,6%,44
15583,16627,Coalport,PA,Pennsylvania,$84.3 K,1.23%,-4.6%,-,45,57,56,91,62,22,11,3.1%,0.01%,36,$45.42 K,3.1%,35,33,6%,44
15584,16657,James Creek,PA,Pennsylvania,,,,,,,,,,,,,,,,,,,,
15585,16693,Williamsburg,PA,Pennsylvania,$421.2 K,0.61%,5.9%,$180.3,97,34,70,80,70,95,96,4.1%,3.38%,78,$66.82 K,5.8%,35,48,7%,34
15586,17026,Fredericksburg,PA,Pennsylvania,$433.9 K,0.64%,4.4%,$221.73,91,60,64,75,59,95,100,3.5%,3.71%,84,$83.45 K,5.8%,33,61,5.3%,54
15587,17063,Milroy,PA,Pennsylvania,$162.3 K,1.56%,6.4%,$94.55,49,50,60,83,56,24,15,2.8%,0.67%,57,$60.88 K,3.1%,35,37,6%,41
15588,17066,Mount Union,PA,Pennsylvania,$98.7 K,0.95%,5.4%,-,43,58,54,79,56,26,14,3.5%,0%,45,$38.38 K,3.1%,38,36,6%,48
15589,17073,Newmanstown,PA,Pennsylvania,$300.3 K,1.24%,4.4%,$182.61,54,64,62,76,52,24,12,2.3%,1.98%,70,$86.1 K,3.1%,36,51,6%,48
15590,17101,Harrisburg,PA,Pennsylvania,$235.1 K,1.5%,6.5%,$137.62,64,62,63,60,67,40,38,3.8%,1.9%,69,$46.65 K,3.1%,37,40,6%,50
15591,17217,Concord,PA,Pennsylvania,$776.9 K,0.68%,1.1%,$485.83,86,92,80,67,47,71,51,3.9%,-0.81%,67,$107.79 K,9.3%,37,64,9.75%,85
15592,17249,Rockhill Furnace,PA,Pennsylvania,,,,,,,,,,,,,,,,,,,,
15593,17370,York Haven,PA,Pennsylvania,$271 K,1.75%,8.2%,$134.73,85,77,63,75,49,24,13,2.6%,0.93%,75,$68.21 K,3.1%,38,52,6%,54
15594,17520,East Petersburg,PA,Pennsylvania,$309.3 K,1.59%,8%,$151.34,77,76,63,68,54,28,16,2.3%,1.48%,76,$85.83 K,3.1%,39,52,6%,48
15595,17545,Manheim,PA,Pennsylvania,$448.2 K,1.47%,6.8%,$193.2,84,72,61,63,57,99,84,1.9%,1.48%,80,$93.41 K,3.1%,41,55,6%,51
15596,17578,Stevens,PA,Pennsylvania,$244.2 K,1.82%,5.7%,-,84,67,54,80,62,64,75,2.6%,0.29%,56,$53.61 K,5.3%,31,30,5.5%,32
15597,17768,Shunk,PA,Pennsylvania,,,,,,,,,,,,,,,,,,,,
15598,17870,Selinsgrove,PA,Pennsylvania,$236.1 K,0.98%,-7.3%,-,62,51,59,75,57,48,37,2.7%,-0.95%,69,$56.3 K,3.1%,39,48,6%,35
15599,18013,Bangor,PA,Pennsylvania,$244.9 K,1.55%,7.7%,$137.64,77,67,54,84,61,20,10,3.2%,0.71%,48,$52.44 K,6.8%,40,53,5.5%,33
15600,18105,Allentown,PA,Pennsylvania,$271.1 K,2.09%,7.4%,$158.29,66,66,61,61,57,62,54,4%,0.88%,71,$52.45 K,3.1%,40,47,6%,59
15601,18220,Delano,PA,Pennsylvania,$319 K,0.96%,4.9%,$212.61,46,86,74,23,40,54,37,17.7%,-2.26%,62,$53.64 K,9.3%,47,41,8.25%,49
15602,18244,Parryville,PA,Pennsylvania,$208.1 K,1.61%,5.2%,$141.8,57,53,57,78,45,24,17,3.3%,0.89%,66,$56.25 K,3.1%,36,48,6%,70
15603,18372,Tannersville,PA,Pennsylvania,$372.4 K,1.76%,8.9%,$218.3,76,46,54,92,56,24,17,4%,3.05%,53,$61.51 K,5.5%,50,45,8%,49
15604,18430,Herrick Center,PA,Pennsylvania,,,,,,,,,,,,,,,,,,,,
15605,18456,Prompton,PA,Pennsylvania,$245.9 K,1.31%,1.9%,$164.17,66,61,52,81,56,21,16,3.3%,3.07%,52,$101.25 K,3.1%,33,51,6%,56
15606,18472,Waymart,PA,Pennsylvania,$261.7 K,1.31%,4.2%,$166.87,61,61,54,80,54,24,14,3.3%,3.07%,54,$50.57 K,3.1%,35,49,6%,54
15607,18622,Huntington Mills,PA,Pennsylvania,,,,,,,,,,,,,,,,,,,,
15608,18629,Mehoopany,PA,Pennsylvania,$299.7 K,1.44%,2.8%,$129.19,57,47,55,81,51,20,14,2.9%,1.02%,53,$62.14 K,3.1%,34,42,6%,56
